"Plot Title: 16882"
"#","Date","Time, GMT-06:00","Abs Pres, psi (LGR S/N: 20757958, SEN S/N: 20757958)","Temp, °F (LGR S/N: 20757958, SEN S/N: 20757958)","Abs Pres Barom., psi (LGR S/N: 20757959, SEN S/N: 20757959)","Water Level, feet (LGR S/N: 20757958)","Coupler Detached (LGR S/N: 20757958)","Coupler Attached (LGR S/N: 20757958)","Stopped (LGR S/N: 20757958)","End Of File (LGR S/N: 20757958)"
326,08/01/20,02:49:16 AM,15.4797,82.508,,2.594,,,,
327,08/01/20,02:54:01 AM,,,14.5589,,,,,
328,08/01/20,03:04:16 AM,15.4773,82.508,,2.594,,,,
329,08/01/20,03:09:01 AM,,,14.5554,,,,,
330,08/01/20,03:19:16 AM,15.4697,82.508,,2.580,,,,
331,08/01/20,03:24:01 AM,,,14.5548,,,,,
332,08/01/20,03:34:16 AM,15.4622,82.508,,2.564,,,,
333,08/01/20,03:39:01 AM,,,14.5538,,,,,
334,08/01/20,03:49:16 AM,15.4718,82.330,,2.585,,,,
335,08/01/20,03:54:01 AM,,,14.5550,,,,,
336,08/01/20,04:04:16 AM,15.4767,82.330,,2.604,,,,
337,08/01/20,04:09:01 AM,,,14.5496,,,,,
338,08/01/20,04:19:16 AM,15.4867,82.330,,2.635,,,,
339,08/01/20,04:24:01 AM,,,14.5473,,,,,
340,08/01/20,04:34:16 AM,15.4937,82.152,,2.646,,,,
341,08/01/20,04:39:01 AM,,,14.5515,,,,,
342,08/01/20,04:49:16 AM,15.4937,82.152,,2.650,,,,
343,08/01/20,04:54:01 AM,,,14.5473,,,,,
344,08/01/20,05:04:16 AM,15.4912,82.152,,2.643,,,,
345,08/01/20,05:09:01 AM,,,14.5496,,,,,
346,08/01/20,05:19:16 AM,15.4831,81.975,,2.623,,,,
347,08/01/20,05:24:01 AM,,,14.5496,,,,,
348,08/01/20,05:34:16 AM,15.4806,81.975,,2.612,,,,
349,08/01/20,05:39:01 AM,,,14.5527,,,,,
350,08/01/20,05:49:16 AM,15.4906,81.975,,2.626,,,,
351,08/01/20,05:54:01 AM,,,14.5574,,,,,
352,08/01/20,06:04:16 AM,15.4951,81.797,,2.621,,,,
353,08/01/20,06:09:01 AM,,,14.5645,,,,,
354,08/01/20,06:19:16 AM,15.5051,81.797,,2.632,,,,
355,08/01/20,06:24:01 AM,,,14.5693,,,,,
356,08/01/20,06:34:16 AM,15.5225,81.797,,2.672,,,,
357,08/01/20,06:39:01 AM,,,14.5669,,,,,
358,08/01/20,06:49:16 AM,15.5444,81.621,,2.720,,,,
359,08/01/20,06:54:01 AM,,,14.5699,,,,,
360,08/01/20,07:04:16 AM,15.5620,81.621,,2.758,,,,
361,08/01/20,07:09:01 AM,,,14.5699,,,,,
362,08/01/20,07:19:16 AM,15.5763,81.442,,2.789,,,,
363,08/01/20,07:24:01 AM,,,14.5711,,,,,
364,08/01/20,07:34:16 AM,15.5839,81.442,,2.793,,,,
365,08/01/20,07:39:01 AM,,,14.5793,,,,,
366,08/01/20,07:49:16 AM,15.5888,81.442,,2.796,,,,
367,08/01/20,07:54:01 AM,,,14.5805,,,,,
368,08/01/20,08:04:16 AM,15.5863,81.442,,2.788,,,,
369,08/01/20,08:09:01 AM,,,14.5815,,,,,
370,08/01/20,08:19:16 AM,15.5859,81.266,,2.772,,,,
371,08/01/20,08:24:01 AM,,,14.5904,,,,,
372,08/01/20,08:34:16 AM,15.5863,81.442,,2.764,,,,
373,08/01/20,08:39:01 AM,,,14.5921,,,,,
374,08/01/20,08:49:16 AM,15.5814,81.442,,2.749,,,,
375,08/01/20,08:54:01 AM,,,14.5937,,,,,
376,08/01/20,09:04:16 AM,15.5739,81.442,,2.731,,,,
377,08/01/20,09:09:01 AM,,,14.5934,,,,,
378,08/01/20,09:19:16 AM,15.5689,81.442,,2.716,,,,
379,08/01/20,09:24:01 AM,,,14.5956,,,,,
380,08/01/20,09:34:16 AM,15.5644,81.621,,2.698,,,,
381,08/01/20,09:39:01 AM,,,14.5995,,,,,
382,08/01/20,09:49:16 AM,15.5595,81.621,,2.683,,,,
383,08/01/20,09:54:01 AM,,,14.6001,,,,,
384,08/01/20,10:04:16 AM,15.5544,81.621,,2.670,,,,
385,08/01/20,10:09:01 AM,,,14.6007,,,,,
386,08/01/20,10:19:16 AM,15.5470,81.621,,2.656,,,,
387,08/01/20,10:24:01 AM,,,14.5988,,,,,
388,08/01/20,10:34:16 AM,15.5425,81.797,,2.645,,,,
389,08/01/20,10:39:01 AM,,,14.5998,,,,,
390,08/01/20,10:49:16 AM,15.5375,81.797,,2.632,,,,
391,08/01/20,10:54:01 AM,,,14.6002,,,,,
392,08/01/20,11:04:16 AM,15.5305,81.975,,2.616,,,,
393,08/01/20,11:09:01 AM,,,14.5999,,,,,
